temperature,city,pression,date
9.09,Paris,1013,2026-01-20_15-04
9.97,London,1007,2026-01-20_15-04
-2.28,Washington,1030,2026-01-20_15-04
9.09,Paris,1013,2026-01-20_15-03
9.97,London,1007,2026-01-20_15-03
-2.28,Washington,1030,2026-01-20_15-03
9.09,Paris,1013,2026-01-20_15-02
9.97,London,1007,2026-01-20_15-02
-2.28,Washington,1030,2026-01-20_15-02
9.09,Paris,1013,2026-01-20_15-01
9.97,London,1007,2026-01-20_15-01
-2.28,Washington,1030,2026-01-20_15-01
9.09,Paris,1013,2026-01-20_15-00
9.97,London,1007,2026-01-20_15-00
-2.23,Washington,1030,2026-01-20_15-00
9.09,Paris,1013,2026-01-20_14-59
9.97,London,1007,2026-01-20_14-59
-2.23,Washington,1030,2026-01-20_14-59
9.09,Paris,1013,2026-01-20_14-58
9.94,London,1007,2026-01-20_14-58
-2.23,Washington,1030,2026-01-20_14-58
9.09,Paris,1013,2026-01-20_14-57
9.94,London,1007,2026-01-20_14-57
-2.23,Washington,1030,2026-01-20_14-57
9.09,Paris,1013,2026-01-20_14-56
9.94,London,1007,2026-01-20_14-56
-2.23,Washington,1030,2026-01-20_14-56
9.09,Paris,1013,2026-01-20_14-55
9.94,London,1007,2026-01-20_14-55
-2.23,Washington,1030,2026-01-20_14-55
9.09,Paris,1013,2026-01-20_14-54
9.94,London,1007,2026-01-20_14-54
-2.23,Washington,1030,2026-01-20_14-54
9.09,Paris,1013,2026-01-20_14-53
9.94,London,1007,2026-01-20_14-53
-2.23,Washington,1030,2026-01-20_14-53
9.09,Paris,1013,2026-01-20_14-52
9.94,London,1007,2026-01-20_14-52
-2.23,Washington,1030,2026-01-20_14-52
9.09,Paris,1013,2026-01-20_14-51
9.94,London,1007,2026-01-20_14-51
-2.23,Washington,1030,2026-01-20_14-51
9.09,Paris,1013,2026-01-20_14-50
9.94,London,1007,2026-01-20_14-50
-2.23,Washington,1030,2026-01-20_14-50
9.09,Paris,1013,2026-01-20_14-49
9.94,London,1007,2026-01-20_14-49
-2.23,Washington,1030,2026-01-20_14-49
9.09,Paris,1013,2026-01-20_14-48
9.94,London,1007,2026-01-20_14-48
-2.23,Washington,1030,2026-01-20_14-48
9.09,Paris,1013,2026-01-20_14-47
9.94,London,1007,2026-01-20_14-47
-2.23,Washington,1030,2026-01-20_14-47
9.09,Paris,1013,2026-01-20_14-46
9.94,London,1007,2026-01-20_14-46
-2.23,Washington,1030,2026-01-20_14-46
9.09,Paris,1013,2026-01-20_14-45
9.94,London,1007,2026-01-20_14-45
-2.23,Washington,1030,2026-01-20_14-45
